Topic,Count,Name,Representation,Representative_Docs
36,578,36_peaches_peach_sugar_cobbler,"['peaches', 'peach', 'sugar', 'cobbler', 'cream', 'fruit', 'pour', 'pie', 'mix', 'butter']","[""Peaches Supreme. Wash and drain the peaches. Bring 2 quarts of water to a boil in a large saucepan. Place the peaches in a wire basket, and dip them into the boiling water (or use a slotted spoon). Allow the peaches to stay in the pot for 2 minutes. Remove the basket, plunge the peaches inot a pan or sink of ice water, then drain. When the peaches are cool enough to handle, slip off the outer skins, cut in half and remove the pits. Place the peach halves in a colander and rinse quickly. Set peaches aside to drain while preparing the pickling solution. In a medium saucepan, bring the raspberries, sugar, wine vinegar, and nutmeg to a boil. Allow the mixture to bubble for 2--3 minutes. Lower the heat while packing the peaches, but remember to keep the liquid very hot. Gently spoon the peaches into hot, sterilized canning jars (with an optional cleaned and blanched peach seed). Pour the hot raspberry liquid over the fruit, leaving 1/2 inch head space. Release the air bubbles. Clean the rims of the jars. Add the lids (follow manufacturer's instructions) and rings and tighten only fingertip tight. Process in a hot-water bath for 25 minutes. Remove and set aside to cool in a draft-free area before storing."", ""Chef John'S Peach Tartlets. Preheat oven to 375 degrees F (190 degrees C). Line a baking sheet with a silicone baking mat. Whisk sugar and Chinese five-spice powder together in a small bowl. Beat egg and water together in another bowl. Melt butter in a large skillet over medium heat. When the butter foams, arrange peaches in a single layer in the skillet. Pour sugar mixture over the peaches; cook, turning peaches once, until sugar is melted, bubbling, and syrup has a tan color, about 2 minutes. Transfer peaches and syrup to a bowl to cool completely. Cut pie crusts into eight 4 1/2-inch rounds. Set rounds on prepared baking sheet and fold edges of each crust up to form a 1/2-inch rim. Brush each crust with egg mixture. Place 2 peach slices, pit-sides facing each other, in the center of each tart. Place 1 peach slice in center, skin-side up, in between the other two peaches. Drizzle excess syrup over the peaches. Bake in the preheated oven until golden and bubbling, about 15 minutes."", 'Peach Dump Cake. Pour peaches in 9 x 13 x 2-inch pan. Place butter over the top of peaches. Sprinkle cake mix on top of butter and peaches evenly. Bake at 350° for 45 minutes to 1 hour.']"
37,577,37_mushrooms_spinach_mushroom_caps,"['mushrooms', 'spinach', 'mushroom', 'caps', 'stems', 'cheese', 'mushroom caps', 'minutes', 'heat', 'pepper']","['Stuffed Portobello Mushrooms. Preheat the oven to 400 F. To cook the mushrooms, combine 1/3 cup of the olive oil, 1/2 teaspoon salt, 1/4 teaspoon pepper, and half the garlic in a large bowl. Using a pastry brush, coat the surface of the mushrooms, inside and out, with the oil mixture. Place the mushrooms on a baking sheet, domed side down. Bake for about 15 minutes, or until the centers of the mushrooms are tender. Drain the mushrooms on paper towels and set aside to cool. Keep the oven on. To make the filling, in a large skillet, heat 2 tablespoons of the olive oil over high heat. When the oil is nearly smoking, add enough of the zucchini to make a single layer in the pan. Cook the zucchini without stirring until browned on one side, about 5 minutes. Stir the zucchini and cook for an additional 2 minutes, or until lightly browned on all sides. Remove to a medium bowl and repeat with the remaining zucchini. Add the bell pepper, onion, and remaining tablespoon oil to the skillet and cook, without stirring, for 5 minutes, or until browned. Stir the mixture and cook for an additional 2 minutes. Add the bell pepper and onion to the zucchini. Season the vegetable mixture with 1/4 teaspoon salt and pepper to taste. Let it cool in the refrigerator while preparing the rest of the filling. Combine the cream cheese and butter in a medium bowl. Fold in the green onions, Parmesan cheese, sun-dried tomatoes, basil, parsley, remaining garlic, bread crumbs, and 1/4 teaspoon each salt and pepper. Mix the cheese mixture into the vegetable mixture, combining thoroughly but gently. Place the mushrooms, domed side down, on a baking sheet. Divide the filling evenly among the mushroom caps, mounding it slightly. Push the filling to the edges to fill the entire cap. Top each with 3 slices tomato and sprinkle with the semisoft cheese, mounding it high. Bake for about 20 minutes, or until the mushrooms are heated through and the cheese is melted and is beginning to brown. The stuffed mushrooms will keep for up to 3 days in the refrigerator. Reheat them, covered, in a 350F. oven. The stuffing will keep for up to 5 days in the refrigerator.', 'Spinach Stuffed Mushrooms. Cook spinach according to package directions until tender. Squeeze out all water. Set aside. Twist out stems of mushrooms and chop fine and saute in small amount of butter. Add small amount of minced onion and saute; add bread crumbs and cheese. Stir mixture. Dip mushroom caps in melted butter. Stuff caps with mixture; will be rounded on top of mushroom. Sprinkle with Parmesan cheese. Bake on cookie sheet at 325° for 15 to 20 minutes.', 'Stuffed Mushrooms. Wash mushrooms and remove stems. Chop mushroom stems finely. In frypan, melt butter over low heat. Add onion and cook until onions are transparent, about 2 minutes. Add chopped mushroom stems to onions and continue cooking until soft, about 3 minutes. Add bread crumbs, 2 tablespoons Parmesan cheese and salt to mushroom mixture. Stir until well blended. Using a teaspoon, mound mixture in hollows of mushroom caps. Sprinkle mushrooms with remaining cheese. With butter, grease bottom of 8-inch square pan. Place mushrooms in pan. Bake at 350° for 20 minutes.']"
38,574,38_ice_ice cream_cream_frosting,"['ice', 'ice cream', 'cream', 'frosting', 'vanilla', 'milk', 'beat', 'freezer', 'coffee', 'sugar']","['Homemade Ice Cream. Beat eggs. Add sugar gradually. Beat well after each addition. Add vanilla. For creamier ice cream, omit 1/2 cup sugar and add 1 small box of instant vanilla pudding. Add milk to fill mark of ice cream can. Follow directions for your ice cream freezer.', ""Reese'S Peanut Butter Ice Cream. You will need 1 ice cream freezer."", 'Homemade Ice Cream. Mix eggs, sugar, vanilla, evaporated milk and a pinch of salt. Finish filling ice cream container with whole milk. Freeze in ice cream freezer until firm.']"
39,564,39_turkey_stuffing_breast_turkey breast,"['turkey', 'stuffing', 'breast', 'turkey breast', 'roasting', 'gravy', 'minutes', 'heat', 'pan', 'broth']","['Maple-Glazed Turkey With Bourbon-Pecan Gravy. Using your fingers, carefully loosen the skin over the turkey breast and thighs; try not to tear the skin. Set a large oven roasting bag in a very large bowl. Put the turkey in the bag, cavity end up. In a bowl, mix the bourbon with the orange juice, maple syrup, thyme and 1 1/2 teaspoons each of salt and pepper. Slowly pour the mixture under the turkey skin and press to distribute it evenly over the breast and thighs. Wrap the turkey tightly in the bag and seal with a twist tie. Refrigerate overnight. Bring to room temperature before roasting. Preheat the oven to 325°. Remove the turkey from the bag and set it in a large roasting pan. Pour the marinade into a large measuring cup. Rub 6 tablespoons of the butter under the breast skin and rub the remaining 2 tablespoons over the skin. Tie the turkey legs together with twine. Pour 1/2 cup of the reserved marinade into the roasting pan and roast the turkey for 30 minutes. Baste the turkey with the pan juices and add 1 cup of water to the pan. Roast the turkey for 1 hour longer, basting it every half hour. Add the remaining marinade to the pan. Cover the turkey loosely with aluminum foil and roast for about 2 hours longer, or until an instant-read thermometer inserted in the thickest part of the thigh registers 165°. Carefully transfer the turkey to a carving board, allowing the juices in the cavity to run into the pan. Cover loosely with foil and let rest for 30 minutes. Pour the pan juices into a bowl and skim the fat: reserve 6 tablespoons of the fat. In a large saucepan, mix the fat with the flour to form a paste. In a medium saucepan, warm the Rich Turkey Stock and slowly whisk it into the flour paste. Bring to a boil over moderate heat, whisking constantly. Whisk in the reserved pan juices and simmer over low heat, whisking frequently, until thickened and flavorful, about 25 minutes. Season with salt and pepper and stir in the pecans; transfer to a large gravy boat. Carve the turkey, arrange on a platter and serve with the pecan gravy.', 'Kentucky Fried Turkey. NOTES: THOROUGHLY STUDY ARTICLES (OR WATCH YOUTUBE VIDEOS) REGARDING SAFETY HAZARD PREVENTION WHEN DEEP-FRYING TURKEY. I STRONGLY RECOMMEND PREPARE THIS RECIPE ONLY IF YOU HAVE A BARBOUR 1118 32-QUART STAINLESS STEEL TURKEY DEEP FRYER SET (WITH ACCOMPANYING INSTRUCTIONS, DEEP-FRYING BASKET, RACK AND HOOK). THE ENTIRE SET CAN PURCHASED ONLINE FOR AS LOW AS $92.00.DO NOT BRINE TURKEY IF USING PRE-BRINED TURKEY (TURKEY ENHANCED IN A SALINE SOLUTION OR BROTH; CHECK INGREDIENT LABEL). (STEP ONE): PLACE a large colander in sink; REMOVE neck and gizzards from one fresh (or properly, completely thawed) 14-16 pound turkey (save neck and gizzards for stuffing and/or gravy if desired); RINSE turkey inside and out under cold running water above colander; ALLOW to drain; MEASURE the BRINE ingredients into a sterilized 5 gallon bucket: 8 quarts (32 cups) water, 3/4 cup unseasoned meat tenderizer, and 6 tablespoons MSG. SLOWLY lower turkey into the bucket with brine; COVER turkey; ADJUST refrigerator racks to fit the 5 gallon bucket; PLACE bucket in refrigerator for 12 (and up to) 24 hours (if desired you may inject the brine solution into turkey evenly, using a poultry brine injector). MIX the 1/4 cup Recipe #422315 in a medium bowl (use seasoning mix only without adding flour). REMOVE turkey from brine after marinating; SET turkey again in the large colander in sink; ALLOW turkey to drain in colander; PAT turkey as dry as possible; LOOSEN skin from turkey from the neck end by sliding fingers under the skin to the end of the breast without tearing skin; GENEROUSLY apply the seasoned RUB mixture well under the beast skin, on the outer skin, and in the inner cavities; PLACE seasoned turkey into a roasting pan; COVER; PLACE into refrigerator; ALLOW turkey to absorb seasonings for 8-12 hours. REMOVE turkey from refrigerator; UNCOVER turkey; ALLOW to rest at room temperature for 1 1/2 to 2 hours. POUR 4 gallons vegetable oil or peanut oil into 32-quart stainless steel turkey deep frying pot; PLACE pot over a sturdy outdoor propane burner; SLOWLY heat FRYING OIL to 250°F; USE a deep-frying thermometer to moniter heat. CAREFULLY and slowly lower the deep-fryng rack with hook containing brined turkey into the preheated frying fat; RAISE the oil temperature to 295°F. SET timer for 55 minutes; MAINTAIN oil temperature between 275°F and not over 300°F (check the oil temperature often using a deep-frying thermometer). STEADILY pull the hook with rack to lift turkey; TEST the temperature of the turkey in the deepest part of where the thigh and breast meet without touching the bone, using a probe instant-read meat thermometer; CAREFULLY pull turkey from the hot oil when an instant-read thermometer inserted into the thickest part of the breast reads at least 165°F, and in the thigh, 180°F; PLACE turkey on a well-placed large cutting board to rest; TENT turkey loosely with foil. ALLOW turkey to rest between 20-30 minutes, without piercing or carving turkey in the meantime; CARVE turkey properly for maximum enjoyment; SERVE immediately and enjoy!', 'Turkey Stuffing. Mix all together and stuff turkey or place around turkey 2 hours before turkey is done.']"
40,560,40_loaf_meatloaf_meat loaf_meat,"['loaf', 'meatloaf', 'meat loaf', 'meat', 'loaf pan', 'ketchup', 'bake', 'mix', '350', 'sauce']","['Scotch Meat Loaf. Mix all ingredients. Put in a loaf pan and bake at 350° for 30 minutes. Pour topping over meat loaf and cook 30 minutes.', 'Meat Loaf. Mix all ingredients thoroughly. Put into loaf pan and bake at 350° for 1 hour.', 'Meat Loaf. Mix all ingredients well and put in loaf pan. Pour ketchup over meat loaf and bake at 350° for 1 hour.']"
41,554,41_chili_beef_simmer_beans,"['chili', 'beef', 'simmer', 'beans', 'meat', 'chili powder', 'add', 'pot', 'ground', 'cook']","[""Quick Homemade Chili. Heat oil in large skillet; add garlic and ground beef. Stir until meat loses its red color. Pour off excess fat. Add beans with their liquid, onion and green pepper. Stir in Hunt's tomato sauce, salt and chili powder. Simmer over low heat, stirring occasionally, until chili is desired thickness, about 45 minutes. Serves 4."", 'Chili. Brown beef and chopped onion. Drain. Add chili sticks, chili beans, tomatoes, tomato juice, salt, pepper, chili powder and hot peppers. Stir until chili sticks are smooth with other ingredients.', 'Chili, Plain And Simple But Darn Good. In a large pot brown the ground beef with onion and green bell pepper until no longer pink; drain all fat. Add in garlic, oregano and chili flakes; cook stirring until browned (about 12-15 minutes, for the best flavor the meat must be slightly browned).Add in chili powder and cumin; cook stirring for 2 minutes. Add in stewed tomatoes, tomato sauce and seasoned salt; bring to a boil over medium heat stirring. Reduce heat to low and cook uncovered for 1-1/2 hours stirring occasionally. Stir in the beans with their liquid and continue to cook for another 30 minutes, stirring occasionally.']"
42,549,42_cheesecake_crust_cream cheese_cream,"['cheesecake', 'crust', 'cream cheese', 'cream', 'pan', 'beat', 'springform', 'cheese', 'springform pan', 'cake']","['Coffee Chocolate Cheesecake (Lightened Version). Stir together crushed graham crackers and melted butter; press mixture into bottom and up sides of a 9"" springform pan coated with cooking spray. Bake at 350F for 10 minutes. Cool on a wire rack. Reduce oven temperature to 325F. Beat cream cheese and sugar at medium speed with an electric mixer until blended. Add liqueur, vanilla, and coffee granules, beating at low speed until well blended. Add eggs, 1 at a time, beating just until yellow disappears after each addition. Remove and reserve 1 cup cream cheese mixture. Pour remaining batter into prepared crust. Microwave chocolate in a medium size, microwave safe bowl 1 minute or until melted, stirring after 30 seconds. Stir reserved 1 cup cream cheese mixture into melted chocolate, blending well (mixture will be thick). Spoon mixture in lines on top of batter in pan; gently swirl with a knife. Bake at 325F for 1 hour or until almost set. Turn oven off. Let cheesecake stand in oven, with door closed, 30 minutes. Remove cheesecake from oven, and gently run a knife around outer edge of cheesecake to loosen from sides of pan. (Do not remove sides of pan.) Cool 1 hour on a wire rack. Cover and chill at least 4 hours. Remove sides of springform pan. Serve with Mocha Sauce. For Mocha Sauce:. Cook first 3 ingredients in a small heavy saucepan over low heat, stirring often, 2 to 3 minutes or until smooth. Remove from heat and stir in coffee. Serve warm.', 'Cheesecake Supreme and Variations. For crust: In a medium mixing bowl stir together crushed graham crackers, walnuts and cinnamon. Stir in butter. If desired, reserve 1/4 cup for topping. Press remaining crumb mixture onto the bottom and about 2 inches up sides of an 8- or 9-inch springform pan. Set pan aside. For filling: In a large mixing bowl combine cream cheese, sugar, flour, vanilla and lemon peel (if using); beat with an electric mixer on medium speed until combined. Add eggs and egg yolk all at once, beating on low speed just until combined (do not overbeat). Stir in milk. Pour filling into crust-lined pan. If desired, top with reserved crumbs. Place on a shallow baking pan. Bake in a 375 oven for 45 to 50 minutes for 8 inch pan or 35 to 40 minutes for 9 inch pan, or until center appears nearly set when shaken gently. Cool in the pan on a wire rack for 15 minutes. Use a sharp, thin bladed knife to loosen the crust from the sides of the pan; cool for 30 minutes more. Remove the sides of the pan. Cool cheesecake completely. Cover and chill at least 4 hours before serving. VARIATIONS: LOW-FAT BERRY MARBLE CHEESECAKE: Prepare crust as above, except reduce crushed graham crackers to 13 cup; omit walnuts and butter. Sprinkle onto bottom side of a well greased 8- or 9-inch springform pan. For filling, substitute three 8-ounce packages nonfat cream cheese for the regular cream cheese; add 1/2 cup refrigerated or frozen egg products (thawed) for the eggs and egg yolk. Prepare as directed. If desired, top with nonfat sour cream; spoon on seedless red raspberry preserves and swirl with a spoon. SOUR CREAM CHEESECAKE: Prepare Cheesecake Supreme as directed, except reduce cream cheese to 2 packages and omit milk. Add three 8 ounce cartons dairy sour cream with eggs. Bake about 10 minutes longer than Cheesecake Supreme. CHOCOLATE CHEESECAKE: Prepare Cheesecake Supreme as directed, omiting lemon peel. Melt 4 ounces semisweet chocolate. Beat melted chocolate into filling mixture just before adding eggs. CHOCOLATE SWIRL CHEESECAKE: Prepare Cheesecake Supreme as directed, omiting lemon peel. Melt 2 ounces semisweet chocolate. Stir melted chocolate into half the filling mixture. Pour chocolate mixture into crust; pour plain filling into crust. Gently swirl fillings with a spatula.', ""Chocolate Bliss Cheesecake. PREHEAT oven to 325°F if using a silver 9-inch springform pan (or to 300°F if using a dark nonstick 9-inch springform pan). Mix cookie crumbs and butter; press firmly onto bottom of pan. BEAT cream cheese, sugar and vanilla in large bowl with electric mixer on medium speed until well blended. Add melted chocolate; mix well. Add eggs, 1 at a time, mixing on low speed after each addition just until blended. Pour over crust. BAKE 55 minute to 1 hour or until center is almost set. Run knife or metal spatula around rim of pan to loosen cake; cool before removing rim of pan. Refrigerate 4 hours or overnight. Store leftover cheesecake in refrigerator. Dust entire surface of cooled cheesecake with cocoa powder using a wire mesh strainer. For a festive Valentine's Day garnish, create a heart-shaped design by topping dusted cheesecake with a heart-shaped stencil and sprinkling with powdered sugar.""]"
43,545,43_banana_loaf_banana bread_bread,"['banana', 'loaf', 'banana bread', 'bread', 'loaf pan', 'bananas', 'pan', 'nut bread', 'flour', '350']","['Cinnamon Banana Bread. Cream butter and sugar. Beat in eggs, one at a time. Mix in mashed banana. Sift dry ingredients together; stir into banana mixture, add nuts. Pour into greased 9x5x3 loaf pan. bake at 350 for 1 hour, or until a toothpick inserted into loaf comes out clean. While cake is warm, pour melted butter over top and sprinkle with cinnamon sugar mixture.', 'Super Moist Banana Bread. Preheat oven to 350. grease and flour a 9x5 loaf pan or 2 small loaf pans. Beat sugar and butter together. add eggs. add sour milk beat well. mix in flour and baking soda mix well stir in banana pour into prepared loaf pan. bake 350 for 1 hour or until the toothpick comes out clean.', 'Wonderful Banana Bread. Preheat oven to 350F Lightly grease a 9 x 5 loaf pan. In a large bowl, combine the flour, baking soda and salt. In a separate bowl, cream together the butter and brown sugar. Stir the eggs, applesauce and mashed bananas into the butter mixture until well blended. Stir the banana mixture into flour mixture just to moisten. Pour the batter into the prepared loaf pan. Bake in a preheated oven for 60-65 minutes, or until a toothpick inserted into the center of loaf comes out clean. Let the bread cool in the pan for 10 minutes and then turn out onto a wire rack to cool.']"
44,545,44_glass_cocktail_shaker_ice,"['glass', 'cocktail', 'shaker', 'ice', 'martini', 'shake', 'strain', 'garnish', 'vodka', 'chilled']","['Marshmallow Cocktail. Fill a cocktail shaker with ice. Pour vodka, pineapple juice, and lime juice over ice; cover and shake. Strain cocktail into a martini glass. Garnish with marshmallows.', 'Jade Martini. Add ingredients to a cocktail shaker filled with ice. Vigorously shake and strain into a martini glass. Slice the bottom of cherry and to the rim of glass.', 'The Maximilian Affair. Add all ingredients to a cocktail shaker and shake well. Strain into a chilled cocktail glass.']"
45,542,45_fudge_chocolate_peanut butter_peanut,"['fudge', 'chocolate', 'peanut butter', 'peanut', 'vanilla', 'butter', 'squares', 'milk', 'soft ball', 'cut squares']","['Chocolate Marshmallow Nut Fudge. In saucepan over low heat, melt chips with milk and salt. Remove from heat. Stir in vanilla and nuts. Spread into 9 x 9-inch foil-lined pan. Carefully push marshmallows into fudge evenly. Cool. When firm, turn out fudge. Remove foil and cut into squares.', 'Peanut Butter Fudge. Cook sugar and milk to soft ball stage, about 5 minutes on medium. Remove from heat. Add Marshmallow Creme, peanut butter and vanilla. Stir until smooth. Pour into greased pan and cut into squares.', 'Peanut Butter Fudge. Boil sugar and milk, without stirring, to 234° or until mixture forms a soft ball. Remove from heat; cool slightly. Add peanut butter, vanilla and salt. Beat until it just loses its gloss. Spread into buttered pan. Cut into squares. Makes 1 1/2 pounds of fudge.']"
46,540,46_crab_crabmeat_cakes_crab meat,"['crab', 'crabmeat', 'cakes', 'crab meat', 'dip', 'mayonnaise', 'serve', 'add crab', 'crackers', 'meat']","['Crab Cakes. 1. Carefully pick through the crab meat, removing any pieces of shell. Keep the lumps of crab meat as large as possible. 2. Place the cream in a saucepan and bring to a boil. Reduce by approximately one-half. Chill the cream well. 3. Saute the bell peppers in a small amount of clarified butter until tender. 4. Combine the crab meat, reduced cream, bell peppers, green onions and approximately 3 ounces (90 grams) bread crumbs along with the salt, pepper, Dijon mustard, Worcestershire sauce, Tabasco sauce and egg. Mix to combine all ingredients, trying to keep the lumps of crab meat intact. 5. Using a mold, form the crab mixture into cakes of the desired size. 6.Place the remaining bread crumbs in an appropriately sized hotel pan. Place the crab cakes, a few at a time, in the hotel pan and cover with the bread crumbs. To help them adhere, press the crumbs lightly into the cakes. 7.Heat a saute pan over moderate heat and add enough clarified butter to cover the bottom approximately 1/4 inch (6 millimeters) deep. 8. Add the crab cakes to the pan and cook until done, turning once when the first side is nicely browned. Remove and drain on absorbent paper. Sauce: Mix all ingredients together.', 'Crabmeat Norfolk. Place crab in a bowl. Stir in vinegar. Melt butter. Toss with crab. Grease a 6-cup dish (11x7), add crab. Heat oven to 400-450 degrees. Add crab, cook 15-20 minutes, while its preheating and bake until the sides are bubbling hot, the crab may only be brown in a few spots before its done. Broil if you want it darker.', 'Hidden Valley Crab Cakes #Rsc. 1.Carefully check the crab meat for any cartilage. Put meat in a bowl and set it aside. Combine remaining ingredients and pour over crab meat and gently fold in the crab. Only mix enough to combine ingredients and avoid breaking up the crab meat into shreds. Shape into 6 crab cakes, and refrigerate for at least 1 hour. Broil until golden brown (5 minutes each side) or deep fry at 350°F for about 2-3 minutes.']"
47,536,47_pineapple_cake_cake mix_mix,"['pineapple', 'cake', 'cake mix', 'mix', 'sugar', 'bake', '350', 'pan', 'dump', 'spread']","['Pineapple Nut Cake. Preheat oven to 350°. Spread the pineapple into a greased 10 x 12-inch pan. Spread the cake mix over the pineapple; scatter the pecans over the cake mix and top with butter pieces. Bake for 45 minutes.', 'No Bake Pineapple Cheesecake. In a large mixing bowl mix together the whipped cream, cream cheese and sugar. Drain as much of the pineapple juice as you can from the can of crushed pineapple. This step is very important because too much juice left in the pineapple will prevent the cheesecake from setting properly. Once the pineapple has been drained, add the pineapple to the rest of the ingredients and mix well. Pour the mixture into the prepared graham cracker crusts. Refrigerate for at least an hour. Enjoy!', 'Pineapple Upside Down Cake. Heat oven to\t350°. Melt oleo in sheet cake pan. Sprinkle brown sugar on top of oleo. Arrange pineapple slices or crushed pineapple on top. Mix yellow cake mix according to directions\ton box. Use pineapple juice for liquid in recipe. Bake for 45 to 55 minutes. When done, cut around sides of cake and invert. Let pan sit on top of cake for a few minutes to make sure all pineapple and topping comes loose.']"
48,482,48_ball_cheese_roll_ball roll,"['ball', 'cheese', 'roll', 'ball roll', 'pecans', 'crackers', 'cream cheese', 'shape', 'chill', 'form ball']","['Cheese Ball. Cream all ingredients together. Then form into ball. Roll cheese ball in nuts or press nuts on outside of cheese ball.', 'Cheese Ball. Soften cheese. Roll into a ball. Roll cheese ball in chopped nuts.', 'Cheese Ball. Mix all ingredients together and chill. Form into a ball and roll in pecans.']"
49,481,49_sandwich_bread_sandwiches_slices,"['sandwich', 'bread', 'sandwiches', 'slices', 'slice', 'cheese', 'spread', 'slice bread', 'bread slices', 'toast']","['Turkey, Apple & Cheddar Cheese Sandwich. Using a knife, spread mustard on the insides of both slices of bread. Place turkey slices on one slice of bread. Place sliced apples on top of the turkey. Place 1 slice of cheese on the other slice of bread. Place both slices of bread, toppings up in toaster oven until cheese bubbles. Then sandwich it together and toast each side of the sandwich until bread is toasted to desired darkness. Happy feasting!', 'Avocado, Spinach And Pesto Grilled Cheese Sandwich. Spread one tablespoon of pesto on 2 slices of bread. Spread the remaining two bread slices with Philadelphia cheese. Sprinkle the mozzarella and parmesan cheeses evenly on each four bread slices. Spread half and half of the baby spinach on the bread slices with pesto. Top the cream cheese bread slices with sliced avocado. Finish with some fresh basil leaves, salt and pepper to your taste. Press together one bread slice with pesto and spinach and one bread slice with cream cheese and avocado. Heat one tablespoon olive oil in a frying pan over low-medium heat. Add the sandwich to the pan and cook until bread is crispy and golden brown. Carefully flip the sandwich over and cook the other side in a same way.', 'Grilled California Turkey Bistro Sandwich. Mash avocado in small bowl with fork; stir in onion and garlic mayonnaise; set aside. To assemble sandwiches, spread 1 side of each bread slice with 3/4 teaspoon softened butter. Evenly spread avocado mixture over 4 bread slices, buttered-side down. Top each with 1 slice cheese, 1/4 turkey, 2 slices bacon, 1 slice cheese and 1 slice bread, buttered-side up. Heat 12-inch skillet over medium-high heat. Place 2 sandwiches into skillet. Cook, turning once, 4-6 minutes or until sandwiches are golden brown and cheese is melted. Keep warm; repeat with remaining sandwiches. Cut each sandwich in half; serve immediately.']"
50,480,50_biscuits_biscuit_dough_cut,"['biscuits', 'biscuit', 'dough', 'cut', 'buttermilk', 'cutter', 'baking', 'flour', 'floured', 'biscuits preheat']","['Chive And Cheddar Biscuits. Preheat oven to 450-degrees F. In a large bowl combine dry ingredients together (flour - baking soda). Cut in butter using two knives or a pastry cutter until mixture is about the size of peas. Stir in buttermilk, cheese and chives, stirring with a fork to form a loose dough. Turn dough out onto a floured board, kneading dough a few times (about 10) and then pat into a 6-inch x 9-inch rectangle; fold into thirds like a letter and then pat into a 6 x 9 inch rectangle again. Dip edges of 3-inch biscuit cutter into flour (I used a coffee mug) and cut out 6 biscuits; transferring biscuits to a cookie sheet that has been sprayed with Pam or lined with parchment paper. Form and cut dough for another biscuit or two (I ended up whit 7 biscuits). Brush tops of biscuits with cream. Bake for 14-16 minutes or until biscuits are browned.', 'Buttermilk Biscuits With Cranberries. Preheat oven to 450°F. Into a large bowl, sift together the flour, baking powder, baking soda, sugar and salt. Sift together 4 times. Blend in the shortening until the mixture resembles coarse meal. Add the buttermilk and cranberries, and stir the mixture gently until it forms a sticky dough. With floured hands, transfer the dough to a well-floured surface and knead it lightly 8 times. Pat out dough 1/2-inch thick; cut out biscuits with a floured 2-inch round cutter. Arrange the biscuits upside down on a greased baking sheet. (The biscuit cutter pinches the edges together when they are being cut out, so turning the biscuits over after cutting allows them to rise higher.) The biscuits should touch each other. Bake the biscuits in the middle of the oven for 10-12 minutes, or until they are golden brown. Serve warm.', 'Salami and Scallion Biscuits. Preheat oven to 375 degrees. In a large bowl, whisk together the flour, baking powder, sugar and salt. Using a pastry cutter, cut cold butter into dry ingredients. Add soppressata and scallions and combine gently. Add cream and mix, preferably with your hands, until a shaggy dough forms. Turn dough out onto a lightly floured surface and knead for 3 to 5 turns, just until dough comes together. Gently pat dough into a 1-inch-thick rectangle. Using a 2-inch biscuit cutter, cut out 6 to 8 biscuits. Press scraps together and cut out another 2 to 4 biscuits. Transfer biscuits to a baking sheet and brush generously with softened butter. Bake for 15 to 20 minutes, or until biscuits are lightly browned.']"
51,475,51_dip_dip mix_spinach_ingredients,"['dip', 'dip mix', 'spinach', 'ingredients', 'mix', 'mix ingredients', 'serve', 'chill', 'dip combine', 'refrigerate']","['Devon Dip. Mix all ingredients well. Refrigerate. Tasty as raw vegetable dip.', 'Dip. Mix all ingredients together and chill.', 'Vegetable Dip. Mix these ingredients and chill.']"
52,471,52_punch_ginger ale_ale_ginger,"['punch', 'ginger ale', 'ale', 'ginger', 'sherbet', 'ice', 'juice', 'add ginger', 'orange', 'aid']","['Punch. Combine all ingredients in punch bowl.', 'Strawberry Punch. Combine pineapple juice, sugar and pink lemonade in punch bowl. Add ice cream, then fill punch bowl with ginger ale. Serve at once.', 'Pink Raspberry Punch. Combine sherbet and punch in punch bowl. Add ginger ale just before serving.']"
53,468,53_macaroni_cheese_macaroni cheese_cook macaroni,"['macaroni', 'cheese', 'macaroni cheese', 'cook macaroni', 'mac', 'pasta', 'cook', 'mac cheese', 'drain', 'dish']","['Macaroni And Cheese. Cook macaroni. Chip cheese. Place layer of macaroni, then layer of cheese. Salt each layer of macaroni. Then add layer of macaroni, then cheese. Beat egg with sweet milk. Add butter. Bake at 450° for 1/2 hour. Bake in oblong pan. Makes large pie.', 'New Macaroni And Cheese Casserole. Preheat oven to 350°. Prepare macaroni to package directions. Drain macaroni and return to pot.', 'Mexican Macaroni & Cheese. Cook macaroni until done and drain. When macaroni is done add the rest of the ingredients. Cook on low heat until it is warmed all the way through. OR you can put the macaroni in an over-proof dish and. bake covered for 20 minute at 350*.']"
54,461,54_blender_blend_ingredients blender_banana,"['blender', 'blend', 'ingredients blender', 'banana', 'smooth', 'blender blend', 'blend smooth', 'ingredients', 'ice', 'place ingredients']","['Snickerdoodle Smoothie. Add all of the ingredients to a blender and blend until smooth.', 'Orange, Banana & Honey Smoothie. Place all ingredients in a blender and blend until smooth.', 'Orange Creamsicle. combine all ingredients into a blender. blend until smooth.']"
